policy_id,policy_name,scope_type,scope_id,policy_category,runtime_mode,implementation_status,requires_student_state,applies_to_program_ids,rule_summary,source_url,notes
STAND_01,Credits to standing classification,university,UNIVERSITY_UG,academic_status,block,runtime_ready,,,"Freshman 0-23cr; Sophomore 24-59; Junior 60-89; Senior 90+",https://bulletin.marquette.edu/policies/classification-undergraduate/,semester_recommender.py _credits_to_standing
STAND_02,Standing-based course eligibility,university,UNIVERSITY_UG,academic_status,warning,runtime_ready,,,Courses with standing_requirement soft tag warn if student is below min standing; min_standing inferred from course level digit minus 1 when not explicit,https://bulletin.marquette.edu/policies/classification-undergraduate/,eligibility.py _evaluate_standing_requirement
CENS_01,College probation GPA threshold,university,UNIVERSITY_UG,academic_status,advisory,deferred,cumulative_gpa,,Students placed on college academic probation per individual college policies,https://bulletin.marquette.edu/policies/academic-censure/undergraduate/,Requires GPA input; college-specific thresholds vary
CENS_02,Academic dismissal GPA — 24cr or fewer,university,UNIVERSITY_UG,academic_status,advisory,deferred,cumulative_gpa;attempted_credits,,Students with 24 or fewer attempted credits dismissed if cumulative GPA below 1.500,https://bulletin.marquette.edu/policies/academic-censure/undergraduate/,Checked at end of each spring term
CENS_03,Academic dismissal GPA — over 24cr,university,UNIVERSITY_UG,academic_status,advisory,deferred,cumulative_gpa;attempted_credits,,Students with more than 24 attempted credits dismissed if cumulative GPA below 2.000,https://bulletin.marquette.edu/policies/academic-censure/undergraduate/,Checked at end of each spring term
CRED_01,Full-time enrollment minimum,university,UNIVERSITY_UG,credit_load,warning,runtime_ready,,,Full-time status requires minimum 12 credits per fall/spring term; 9-11 is three-quarter time; 6-8 is half-time,https://bulletin.marquette.edu/policies/credit-load/undergraduate/,semester_recommender.py semester_warnings
CRED_02,Normal undergraduate load,university,UNIVERSITY_UG,credit_load,warning,runtime_ready,,,Normal full-time undergraduate load is 15-18 credits per fall/spring term,https://bulletin.marquette.edu/policies/credit-load/undergraduate/,semester_recommender.py semester_warnings
CRED_03,CAS max credit load,college,COLLEGE_ARTS_SCIENCES_UG,credit_load,warning,out_of_scope,,,Arts and Sciences students max 20 credits per fall/spring term excluding J-session,https://bulletin.marquette.edu/policies/credit-load/undergraduate/,No CAS programs in planner yet
CRED_04,CoBA max credit load,college,COLLEGE_BUSINESS_UG,credit_load,warning,runtime_ready,,,Business Administration students max 19 credits per fall/spring term excluding J-session; overload needs dean approval,https://bulletin.marquette.edu/policies/credit-load/undergraduate/,semester_recommender.py semester_warnings; currently applied universally since all programs are CoBA
CRED_05,Communication max credit load,college,COLLEGE_COMMUNICATION_UG,credit_load,warning,out_of_scope,,,Communication students max 19 credits per fall/spring term,https://bulletin.marquette.edu/policies/credit-load/undergraduate/,
CRED_06,Education max credit load,college,COLLEGE_EDUCATION_UG,credit_load,warning,out_of_scope,,,Education students max 20 credits per fall/spring term,https://bulletin.marquette.edu/policies/credit-load/undergraduate/,
CRED_07,Engineering max credit load,college,COLLEGE_ENGINEERING_UG,credit_load,warning,out_of_scope,,,Engineering students max 20 credits per fall/spring term,https://bulletin.marquette.edu/policies/credit-load/undergraduate/,
CRED_08,Health Sciences max credit load,college,COLLEGE_HEALTH_SCIENCES_UG,credit_load,warning,out_of_scope,,,Health Sciences students max 19 credits per fall/spring term,https://bulletin.marquette.edu/policies/credit-load/undergraduate/,
CRED_09,Nursing max credit load,college,COLLEGE_NURSING_UG,credit_load,warning,out_of_scope,,,Nursing students max 18 credits per fall/spring term,https://bulletin.marquette.edu/policies/credit-load/undergraduate/,
CRED_10,Summer session max,university,UNIVERSITY_UG,credit_load,warning,runtime_ready,,,Maximum 8 credits per summer session; 16 credits per summer term total,https://bulletin.marquette.edu/policies/credit-load/undergraduate/,semester_recommender.py warns if summer recs exceed 16 total credits
CRED_11,J-session max,university,UNIVERSITY_UG,credit_load,warning,deferred,,,Maximum 4 credits per J-session,https://bulletin.marquette.edu/policies/credit-load/undergraduate/,J-session not modeled in planner
CRED_12,Credit overload dean consent,university,UNIVERSITY_UG,credit_load,advisory,deferred,,,Juniors and seniors may exceed college max credit load with dean/dean designee consent,https://bulletin.marquette.edu/policies/credit-load/undergraduate/,Cannot verify dean approval
CRED_13,Non-degree student credit max,university,UNIVERSITY_UG,credit_load,advisory,deferred,enrollment_type,,Non-degree students normally limited to maximum 7 credits per term,https://bulletin.marquette.edu/policies/credit-load/undergraduate/,
CRED_14,No concurrent registration,university,UNIVERSITY_UG,credit_load,advisory,deferred,,,Students may not pursue credit at another institution while enrolled at MU unless authorized by dean,https://bulletin.marquette.edu/policies/credit-load/undergraduate/,
GRAD_01,Total credits for degree,university,UNIVERSITY_UG,gpa_requirement,advisory,deferred,,,Minimum 120 credits earned required for baccalaureate degree,https://bulletin.marquette.edu/policies/graduation/undergraduate/,Not all students use MarqBot for full graduation planning; most pick 1-3 semesters not all 8. Reference only for now.
GRAD_02,Minimum cumulative GPA,university,UNIVERSITY_UG,gpa_requirement,advisory,deferred,cumulative_gpa,,Minimum 2.000 cumulative GPA required for graduation,https://bulletin.marquette.edu/policies/graduation/undergraduate/,
GRAD_03,Marquette residency 45 credits,university,UNIVERSITY_UG,transfer_and_external_study,advisory,deferred,transfer_credits,,Minimum 45 credits must be earned at Marquette; up to 15 of 45 may be from approved study abroad,https://bulletin.marquette.edu/policies/graduation/undergraduate/,Could add optional transfer_credits input
GRAD_04,Upper-division residency 24 credits,university,UNIVERSITY_UG,transfer_and_external_study,advisory,deferred,transfer_credits,,Minimum 24 upper-division credits must be earned at Marquette including approved study abroad,https://bulletin.marquette.edu/policies/graduation/undergraduate/,
GRAD_05,Final 36 residency,university,UNIVERSITY_UG,transfer_and_external_study,advisory,deferred,transfer_credits,,At least 30 of the final 36 credits must be earned at Marquette or approved study abroad/contractual agreement,https://bulletin.marquette.edu/policies/graduation/undergraduate/,
GRAD_06,Major 50% residency,university,UNIVERSITY_UG,transfer_and_external_study,advisory,deferred,transfer_credits,,Minimum one-half of credits in the major must be earned at Marquette,https://bulletin.marquette.edu/policies/graduation/undergraduate/,
GRAD_07,Minor 50% residency,university,UNIVERSITY_UG,transfer_and_external_study,advisory,deferred,transfer_credits,,Minimum one-half of credits in the minor must be earned at Marquette,https://bulletin.marquette.edu/policies/graduation/undergraduate/,
GRAD_08,Major 15 credits at MU,university,UNIVERSITY_UG,transfer_and_external_study,advisory,deferred,transfer_credits,,A minimum of 15 credits in the major must be taken at Marquette,https://bulletin.marquette.edu/policies/major-declaration/,
GRAD_09,Minor 9 credits at MU,university,UNIVERSITY_UG,transfer_and_external_study,advisory,deferred,transfer_credits,,A minimum of 9 credits in the minor must be taken at Marquette,https://bulletin.marquette.edu/policies/major-declaration/,
GRAD_10,Clear incomplete grades,university,UNIVERSITY_UG,gpa_requirement,advisory,deferred,grade_history,,Students must clear all I IC IE and NG grades before graduation,https://bulletin.marquette.edu/policies/graduation/undergraduate/,
DECL_01,Degree-seeking required for major,university,UNIVERSITY_UG,program_declaration,advisory,deferred,enrollment_type,,Only degree-seeking students may declare a major,https://bulletin.marquette.edu/policies/major-declaration/,
DECL_02,Declare major before junior year,university,UNIVERSITY_UG,program_declaration,advisory,deferred,,,Students in A&S Business and Engineering must officially declare a major before junior year,https://bulletin.marquette.edu/policies/major-declaration/,Could warn when completed credits approach 60 with no major selected
DECL_03,Degree-seeking required for minor,university,UNIVERSITY_UG,program_declaration,advisory,deferred,enrollment_type,,Only degree-seeking students may declare a minor; must have declared a primary major first,https://bulletin.marquette.edu/policies/major-declaration/,
DECL_04,Minor declared by junior year,university,UNIVERSITY_UG,program_declaration,advisory,deferred,,,Minor should be declared by junior year for appropriate advising and completion,https://bulletin.marquette.edu/policies/major-declaration/,
RPT_01,One repeat of passing course,university,UNIVERSITY_UG,repeat_policy,advisory,deferred,grade_history,,Courses in which a passing grade is earned may be repeated only once,https://bulletin.marquette.edu/policies/repeated-courses/undergraduate/,
RPT_02,Repeat must be at Marquette,university,UNIVERSITY_UG,repeat_policy,advisory,deferred,grade_history,,The repeated course must be taken at Marquette,https://bulletin.marquette.edu/policies/repeated-courses/undergraduate/,
RPT_03,Highest grade counts in GPA,university,UNIVERSITY_UG,repeat_policy,none,deferred,grade_history,,When a course is repeated the highest grade earned is included in cumulative GPA and the lowest grade excluded,https://bulletin.marquette.edu/policies/repeated-courses/undergraduate/,Informational — GPA calculation is registrar-side
RPT_04,Unlimited repeats for certain courses,university,UNIVERSITY_UG,repeat_policy,none,deferred,,,Colloquiums co-ops independent study internships practicums seminars study abroad and variable title courses allow unlimited repeats,https://bulletin.marquette.edu/policies/repeated-courses/undergraduate/,
RPT_05,Failed course repeat until passing,university,UNIVERSITY_UG,repeat_policy,advisory,deferred,grade_history,,Courses with F NC WF U UNC or UY may be repeated until a passing grade is assigned; then one more repeat allowed,https://bulletin.marquette.edu/policies/repeated-courses/undergraduate/,
XFER_01,Transfer credit grade minimum,university,UNIVERSITY_UG,transfer_and_external_study,advisory,deferred,transfer_credits,,Transferred credit with grade below C only applies toward requirements that do not require C or better,https://bulletin.marquette.edu/policies/transfer-course-credit-policy/undergraduate/,
XFER_02,Major courses 10-year sunset,university,UNIVERSITY_UG,transfer_and_external_study,advisory,deferred,,,Major-specific transfer courses taken more than 10 years before matriculation are not accepted; some colleges have shorter sunset,https://bulletin.marquette.edu/policies/transfer-course-credit-policy/undergraduate/,
XFER_03,Test credit policy,university,UNIVERSITY_UG,transfer_and_external_study,none,deferred,,,AP IB CLEP A-Level and PLTW credit awarded on official test scores not credits from prior institutions; may apply to MCC major minor or electives,https://bulletin.marquette.edu/policies/transfer-course-credit-policy/undergraduate/,
XFER_04,Test credit revocation,university,UNIVERSITY_UG,transfer_and_external_study,none,deferred,,,Test credits revoked when student enrolls and earns credit in the course for which test credit was previously awarded,https://bulletin.marquette.edu/policies/transfer-course-credit-policy/undergraduate/,
XFER_05,Study elsewhere requires approval,university,UNIVERSITY_UG,transfer_and_external_study,advisory,deferred,,,Students must obtain written approval for each course before enrolling at another institution; unapproved credits may be denied,https://bulletin.marquette.edu/policies/study-institutions/,
MCC_01,Graduate courses excluded from MCC,university,UNIVERSITY_UG,program_progression,block,runtime_ready,,,Courses at 5000+ level cannot satisfy MCC requirements; undergrad filter restricts MCC buckets to 1000-4999,https://bulletin.marquette.edu/resources-opportunities/marquette-core-curriculum/,student_stage.py undergrad range filter
MCC_02,MCC transfer placement levels,university,UNIVERSITY_UG,program_progression,none,deferred,transfer_credits,,Transfer students placed into one of four MCC completion levels based on status at admission,https://bulletin.marquette.edu/resources-opportunities/marquette-core-curriculum/,Would need transfer student status and MCC placement level
COBA_01,CoBA academic load range,college,COLLEGE_BUSINESS_UG,credit_load,warning,planned,,,Normal CoBA undergraduate load is 12-19 credits per term; exceeding 19 requires overload form and dean approval,https://bulletin.marquette.edu/business-administration/policies/academic-load/,
COBA_02,CoBA C or better in major courses,college,COLLEGE_BUSINESS_UG,grade_minimum,warning,advisory_only,,,CoBA students must earn C or better in each major requirement and elective including the core course introducing the major,https://bulletin.marquette.edu/business-administration/policies/grade-minimums/,minimum_grade tag partially surfaces this; not enforced at allocation
COBA_03,Accounting C in ACCO 1030/1031,college,COLLEGE_BUSINESS_UG,grade_minimum,warning,advisory_only,,ACCO_MAJOR,Accounting students must earn C or better in ACCO 1030 and ACCO 1031 before enrolling in ACCO 3001,https://bulletin.marquette.edu/business-administration/policies/grade-minimums/,Could enforce as hard prereq for ACCO 3001
COBA_04,International business course required,college,COLLEGE_BUSINESS_UG,program_progression,advisory,planned,,,At least one International Business course within or outside declared major is required for all CoBA students,https://bulletin.marquette.edu/business-administration/policies/declaration-major/,Not currently tracked or warned
COBA_05,CoBA students cannot declare business minor,college,COLLEGE_BUSINESS_UG,program_declaration,warning,runtime_ready,,,Undergraduate business students cannot declare a business minor; should pursue second business major instead,https://bulletin.marquette.edu/business-administration/policies/declaration-major/,server.py program_warnings; warning not hard block since non-CoBA students can minor in business
COBA_06,Max three business majors,college,COLLEGE_BUSINESS_UG,program_declaration,block,runtime_ready,,,Undergraduate business students can complete a maximum of three business majors,https://bulletin.marquette.edu/business-administration/policies/declaration-major/,server.py returns TOO_MANY_BUSINESS_MAJORS error
COBA_07,CR/NC option restrictions,college,COLLEGE_BUSINESS_UG,grade_minimum,advisory,deferred,,,Juniors/seniors may elect CR/NC for one course per term (max 4 total); only general electives eligible; not MCC BCC major or minor courses,https://bulletin.marquette.edu/business-administration/policies/crnc-option/,CR/NC grading not modeled in planner
COBA_08,Calculus and business at MU,college,COLLEGE_BUSINESS_UG,transfer_and_external_study,advisory,deferred,,,Once matriculated at MU calculus and business courses must be taken at Marquette; business communication can be taken elsewhere with equivalency,https://bulletin.marquette.edu/business-administration/policies/transfer-course-study-approval/,Cannot distinguish pre/post-matriculation completion
COBA_09,ADP 5000-level GPA requirement,college,COLLEGE_BUSINESS_UG,program_progression,advisory,out_of_scope,cumulative_gpa,,Accelerated Degree Program 5000-level courses require 3.000 overall and 3.000 business GPA; max 2 classes per term,https://bulletin.marquette.edu/business-administration/policies/accelerated-degree-program/,Graduate program scope; not relevant to undergrad planner
COBA_10,CoBA upper-div electives below C,college,COLLEGE_BUSINESS_UG,grade_minimum,advisory,deferred,grade_history,,Single-major CoBA students: upper-division business electives beyond major requirements can be below C if university and college GPA meets minimum,https://bulletin.marquette.edu/business-administration/policies/grade-minimums/,Edge case; requires GPA and single-major context
CAS_01,CAS grade floor for major/minor,college,COLLEGE_ARTS_SCIENCES_UG,grade_minimum,warning,out_of_scope,,,C- D+ or D grades do not count toward major or minor credit hours but satisfy subject matter requirement and count toward 120 total; cognates can be completed at C-/D+/D,https://bulletin.marquette.edu/arts-sciences/policies/grade-minimums/,No CAS programs in planner yet
CAS_02,CAS credit overload,college,COLLEGE_ARTS_SCIENCES_UG,credit_load,advisory,out_of_scope,,,CAS students exceeding 20 credits must submit Credit Overload Request form,https://bulletin.marquette.edu/arts-sciences/policies/credit-overload/,
ENG_01,Engineering repeat limit,college,COLLEGE_ENGINEERING_UG,repeat_policy,advisory,out_of_scope,grade_history,,Engineering students limited to 5 total uses of Course Repeat Option; same course max 3 attempts,https://bulletin.marquette.edu/engineering/policies/repeating-courses/,
ENG_02,Engineering W grade limit,college,COLLEGE_ENGINEERING_UG,repeat_policy,advisory,out_of_scope,grade_history,,Engineering students max 5 W grades and max 3 ADW/UW/WA/WF grades,https://bulletin.marquette.edu/engineering/policies/course-grade-limitations/,
ENG_03,Engineering F/WF limit,college,COLLEGE_ENGINEERING_UG,repeat_policy,advisory,out_of_scope,grade_history,,Engineering students max 5 F or WF grades total (including replaced by repeat); max 3 F/WF per single course,https://bulletin.marquette.edu/engineering/policies/course-grade-limitations/,
ENG_04,Engineering 8-year course expiration,college,COLLEGE_ENGINEERING_UG,repeat_policy,advisory,out_of_scope,,,Engineering courses expire after 8 years; expired courses must be retaken subject to repeat policy,https://bulletin.marquette.edu/engineering/policies/course-grade-limitations/,
ENG_05,Engineering CR/NC restrictions,college,COLLEGE_ENGINEERING_UG,grade_minimum,advisory,out_of_scope,,,CR/NC option may not be used for required courses or courses within student's specified major,https://bulletin.marquette.edu/engineering/policies/credit-no-credit-grading-option/,
DC_01,Double-count family denial,global_runtime,,runtime_constraint,block,runtime_ready,,,Courses in same double-count family cannot be shared across buckets,,requirements.py bucket_family_key blocks same-family sharing
DC_02,No-double-count groups,global_runtime,,runtime_constraint,block,runtime_ready,,,Once a course in an NDC group is allocated the other group members are blocked from credit,,allocator.py NDC group tracking
DC_03,Pairwise double-count compatibility,global_runtime,,runtime_constraint,block,runtime_ready,,,Each additional bucket assignment must be pairwise-compatible with all already-assigned buckets,,allocator.py pairwise check
MM_01,Major/minor subject overlap,global_runtime,,program_declaration,block,runtime_ready,,,Cannot declare a minor in the same subject as a declared major,,server.py base code overlap check
MM_02,Primary major pairing requirement,global_runtime,,program_declaration,block,runtime_ready,,,AIM BUAN and INBU majors require pairing with a primary major,,server.py requires_primary_major validation
MM_03,Second language for intl biz,university,UNIVERSITY_UG,program_progression,advisory,deferred,,INBU_MAJOR,B.A. in Arts & Sciences and International Business majors require second language proficiency,https://bulletin.marquette.edu/policies/second-language-course-placement-undergraduate/,Language proficiency verified by registrar
RT_01,Max courses per bucket per semester,global_runtime,,runtime_constraint,block,runtime_ready,,,Maximum 2 courses from any single bucket recommended per semester,,semester_recommender.py MAX_PER_BUCKET_PER_SEM = 2
RT_02,Overflow to elective pools,global_runtime,,runtime_constraint,block,runtime_ready,,,When all non-elective buckets are full courses overflow into elective pools only,,allocator.py overflow logic
RT_03,BCC tier ordering,global_runtime,,runtime_constraint,rank_penalty,runtime_ready,,,BCC_REQUIRED tier 1 before MCC_FOUNDATION tier 2 before late buckets tiers 3-5,,semester_recommender.py BCC tier bands
RT_04,BCC deferral runway,global_runtime,,runtime_constraint,rank_penalty,runtime_ready,,,Explorer style defers BCC when semesters remaining >= 4 and relax_bcc_band enabled,,semester_recommender.py standing-to-semesters mapping
RT_05,Ranking override cap,global_runtime,,runtime_constraint,block,runtime_ready,,,Bucket priority boosts from ranking_overrides.json clamped to max +-2,,semester_recommender.py MAX_RANKING_OVERRIDE_BOOST = 2
RT_06,Recommendation count limit,global_runtime,,runtime_constraint,block,runtime_ready,,,API accepts 1-15 recommendations per semester,,server.py input validation
RT_07,Semester count limit,global_runtime,,runtime_constraint,block,runtime_ready,,,API accepts 1-8 target semesters,,server.py input validation
RT_08,Summer low-confidence filter,global_runtime,,runtime_constraint,block,runtime_ready,,,Summer semesters exclude low_confidence courses from recommendations,,semester_recommender.py offering confidence filter
